scale,area,date,confirmed_observed,confirmed_imputed
national,,2026-06-30,43,14
province,Nord-Kivu,2026-06-30,5,0
province,Ituri,2026-06-30,38,13
province,Haut-Uele,2026-06-30,0,1
healthzone,Bunia,2026-06-30,8,2
healthzone,Fataki,2026-06-30,1,1
healthzone,Rwampara,2026-06-30,8,3
healthzone,Bambu,2026-06-30,0,1
healthzone,Mangala,2026-06-30,2,3
healthzone,Drodro,2026-06-30,0,1
healthzone,Mongbwalu,2026-06-30,8,1
healthzone,Nizi,2026-06-30,8,1
healthzone,Wamba,2026-06-30,0,1
healthzone,Lita,2026-06-30,2,0
healthzone,Musienene,2026-06-30,2,0
healthzone,Rimba,2026-06-30,1,0
healthzone,Katwa,2026-06-30,3,0
national,,2026-07-01,59,16
province,Nord-Kivu,2026-07-01,2,0
province,Ituri,2026-07-01,57,16
healthzone,Nizi,2026-07-01,9,1
healthzone,Rwampara,2026-07-01,10,2
healthzone,Bunia,2026-07-01,13,2
healthzone,Tchomia,2026-07-01,4,0
healthzone,Nia-Nia,2026-07-01,4,0
healthzone,Rimba,2026-07-01,1,0
healthzone,Mongbwalu,2026-07-01,10,0
healthzone,Lita,2026-07-01,2,3
healthzone,Nyakunde,2026-07-01,2,0
healthzone,Bambu,2026-07-01,0,3
healthzone,Mangala,2026-07-01,0,5
healthzone,Katwa,2026-07-01,2,0
healthzone,Damas,2026-07-01,1,0
healthzone,Ariwara,2026-07-01,1,0
national,,2026-07-02,45,12
province,Nord-Kivu,2026-07-02,3,0
province,Ituri,2026-07-02,42,12
healthzone,Lita,2026-07-02,4,2
healthzone,Bunia,2026-07-02,12,2
healthzone,Nyakunde,2026-07-02,5,0
healthzone,Nizi,2026-07-02,7,1
healthzone,Butembo,2026-07-02,1,0
healthzone,Mambasa,2026-07-02,1,0
healthzone,Mongbwalu,2026-07-02,5,0
healthzone,Gethy,2026-07-02,0,1
healthzone,Rwampara,2026-07-02,3,0
healthzone,Tchomia,2026-07-02,1,0
healthzone,Fataki,2026-07-02,0,1
healthzone,Mandima,2026-07-02,1,0
healthzone,Komanda,2026-07-02,0,1
healthzone,Mangala,2026-07-02,0,2
healthzone,Nia-Nia,2026-07-02,1,1
healthzone,Katwa,2026-07-02,2,0
healthzone,Boga,2026-07-02,1,0
healthzone,Kilo,2026-07-02,1,0
healthzone,Drodro,2026-07-02,0,1
national,,2026-07-03,37,8
province,Nord-Kivu,2026-07-03,1,0
province,Ituri,2026-07-03,35,8
province,Haut-Uele,2026-07-03,1,0
healthzone,Bunia,2026-07-03,8,3
healthzone,Nizi,2026-07-03,4,1
healthzone,Tchomia,2026-07-03,3,0
healthzone,Bambu,2026-07-03,1,0
healthzone,Rwampara,2026-07-03,6,1
healthzone,Lita,2026-07-03,4,0
healthzone,Nyakunde,2026-07-03,5,0
healthzone,Mongbwalu,2026-07-03,2,0
healthzone,Nia-Nia,2026-07-03,1,0
healthzone,Katwa,2026-07-03,1,0
healthzone,Boma-Mangbetu,2026-07-03,1,0
healthzone,Mangala,2026-07-03,1,2
healthzone,Komanda,2026-07-03,0,1
national,,2026-07-04,47,11
province,Nord-Kivu,2026-07-04,2,1
province,Ituri,2026-07-04,45,9
province,Haut-Uele,2026-07-04,0,1
healthzone,Nizi,2026-07-04,7,2
healthzone,Komanda,2026-07-04,1,0
healthzone,Bunia,2026-07-04,17,3
healthzone,Tchomia,2026-07-04,1,0
healthzone,Mongbwalu,2026-07-04,1,1
healthzone,Rwampara,2026-07-04,8,1
healthzone,Lita,2026-07-04,5,0
healthzone,Bambu,2026-07-04,0,1
healthzone,Mandima,2026-07-04,1,0
healthzone,Beni,2026-07-04,0,1
healthzone,Nia-Nia,2026-07-04,2,0
healthzone,Nyakunde,2026-07-04,2,0
healthzone,Mangala,2026-07-04,0,1
healthzone,Katwa,2026-07-04,2,0
healthzone,Wamba,2026-07-04,0,1
national,,2026-07-05,32,9
province,Nord-Kivu,2026-07-05,5,0
province,Ituri,2026-07-05,27,9
healthzone,Mongbwalu,2026-07-05,4,0
healthzone,Bambu,2026-07-05,0,2
healthzone,Rwampara,2026-07-05,6,2
healthzone,Nizi,2026-07-05,3,0
healthzone,Bunia,2026-07-05,6,4
healthzone,Butembo,2026-07-05,2,0
healthzone,Kambala,2026-07-05,1,0
healthzone,Lita,2026-07-05,4,1
healthzone,Nia-Nia,2026-07-05,1,0
healthzone,Mandima,2026-07-05,1,0
healthzone,Beni,2026-07-05,1,0
healthzone,Damas,2026-07-05,1,0
healthzone,Katwa,2026-07-05,2,0
national,,2026-07-06,33,7
province,Nord-Kivu,2026-07-06,4,0
province,Ituri,2026-07-06,29,7
healthzone,Bunia,2026-07-06,10,3
healthzone,Nizi,2026-07-06,1,1
healthzone,Rwampara,2026-07-06,10,1
healthzone,Lita,2026-07-06,1,1
healthzone,Nyakunde,2026-07-06,3,0
healthzone,Nia-Nia,2026-07-06,2,0
healthzone,Katwa,2026-07-06,3,0
healthzone,Mangala,2026-07-06,1,1
healthzone,Musienene,2026-07-06,1,0
healthzone,Damas,2026-07-06,1,0
national,,2026-07-07,31,7
province,Ituri,2026-07-07,29,7
province,Nord-Kivu,2026-07-07,2,0
healthzone,Nyakunde,2026-07-07,1,0
healthzone,Mangala,2026-07-07,1,2
healthzone,Bunia,2026-07-07,7,3
healthzone,Nia-Nia,2026-07-07,2,0
healthzone,Nizi,2026-07-07,2,0
healthzone,Lolwa,2026-07-07,1,0
healthzone,Rwampara,2026-07-07,7,0
healthzone,Mongbwalu,2026-07-07,2,0
healthzone,Logo,2026-07-07,1,0
healthzone,Musienene,2026-07-07,2,0
healthzone,Komanda,2026-07-07,1,1
healthzone,Lita,2026-07-07,3,0
healthzone,Mandima,2026-07-07,0,1
healthzone,Tchomia,2026-07-07,1,0
national,,2026-07-08,36,6
province,Ituri,2026-07-08,30,6
province,Nord-Kivu,2026-07-08,6,0
healthzone,Nizi,2026-07-08,4,0
healthzone,Bambu,2026-07-08,1,0
healthzone,Bunia,2026-07-08,8,0
healthzone,Mongbwalu,2026-07-08,5,0
healthzone,Rwampara,2026-07-08,2,1
healthzone,Fataki,2026-07-08,1,0
healthzone,Aru,2026-07-08,1,0
healthzone,Beni,2026-07-08,1,0
healthzone,Lita,2026-07-08,3,2
healthzone,Kilo,2026-07-08,3,0
healthzone,Komanda,2026-07-08,1,0
healthzone,Tchomia,2026-07-08,0,1
healthzone,Katwa,2026-07-08,4,0
healthzone,Lolwa,2026-07-08,0,1
healthzone,Drodro,2026-07-08,1,0
healthzone,Musienene,2026-07-08,1,0
healthzone,Mangala,2026-07-08,0,1
national,,2026-07-09,35,3
province,Ituri,2026-07-09,34,3
province,Nord-Kivu,2026-07-09,1,0
healthzone,Bunia,2026-07-09,11,0
healthzone,Nizi,2026-07-09,2,1
healthzone,Adja,2026-07-09,4,0
healthzone,Rwampara,2026-07-09,9,1
healthzone,Nia-Nia,2026-07-09,6,0
healthzone,Lita,2026-07-09,1,1
healthzone,Damas,2026-07-09,1,0
healthzone,Katwa,2026-07-09,1,0
national,,2026-07-10,34,6
province,Ituri,2026-07-10,28,5
province,Nord-Kivu,2026-07-10,6,1
healthzone,Bunia,2026-07-10,10,2
healthzone,Nizi,2026-07-10,6,0
healthzone,Rwampara,2026-07-10,4,1
healthzone,Nia-Nia,2026-07-10,3,0
healthzone,Butembo,2026-07-10,1,0
healthzone,Lita,2026-07-10,1,0
healthzone,Tchomia,2026-07-10,1,0
healthzone,Ariwara,2026-07-10,1,0
healthzone,Mongbwalu,2026-07-10,2,0
healthzone,Beni,2026-07-10,0,1
healthzone,Bambu,2026-07-10,0,1
healthzone,Katwa,2026-07-10,4,0
healthzone,Fataki,2026-07-10,0,1
healthzone,Musienene,2026-07-10,1,0
national,,2026-07-11,27,6
province,Ituri,2026-07-11,24,6
province,Nord-Kivu,2026-07-11,3,0
healthzone,Bunia,2026-07-11,10,2
healthzone,Lita,2026-07-11,2,1
healthzone,Rwampara,2026-07-11,3,1
healthzone,Nizi,2026-07-11,2,0
healthzone,Adja,2026-07-11,1,1
healthzone,Mongbwalu,2026-07-11,2,0
healthzone,Ariwara,2026-07-11,1,0
healthzone,Bambu,2026-07-11,0,1
healthzone,Komanda,2026-07-11,1,0
healthzone,Mahagi,2026-07-11,1,0
healthzone,Katwa,2026-07-11,3,0
healthzone,Tchomia,2026-07-11,1,0
national,,2026-07-12,24,5
province,Ituri,2026-07-12,19,4
province,Nord-Kivu,2026-07-12,3,1
province,Kasai,2026-07-12,2,0
healthzone,Mongbwalu,2026-07-12,3,0
healthzone,Lita,2026-07-12,2,1
healthzone,Bunia,2026-07-12,2,1
healthzone,Rwampara,2026-07-12,5,0
healthzone,Nia-Nia,2026-07-12,3,0
healthzone,Fataki,2026-07-12,1,0
healthzone,Tchomia,2026-07-12,0,1
healthzone,Beni,2026-07-12,1,1
healthzone,Bulape,2026-07-12,2,0
healthzone,Butembo,2026-07-12,1,0
healthzone,Nizi,2026-07-12,1,0
healthzone,Ariwara,2026-07-12,1,0
healthzone,Bambu,2026-07-12,0,1
healthzone,Katwa,2026-07-12,1,0
healthzone,Kilo,2026-07-12,1,0
national,,2026-07-13,25,3
province,Ituri,2026-07-13,21,2
province,Nord-Kivu,2026-07-13,4,1
healthzone,Bunia,2026-07-13,5,1
healthzone,Bambu,2026-07-13,0,1
healthzone,Nizi,2026-07-13,4,0
healthzone,Nia-Nia,2026-07-13,1,0
healthzone,Ariwara,2026-07-13,2,0
healthzone,Rwampara,2026-07-13,6,0
healthzone,Mongbwalu,2026-07-13,1,0
healthzone,Butembo,2026-07-13,1,0
healthzone,Fataki,2026-07-13,1,0
healthzone,Katwa,2026-07-13,2,0
healthzone,Damas,2026-07-13,1,0
healthzone,Beni,2026-07-13,0,1
healthzone,Musienene,2026-07-13,1,0
national,,2026-07-14,21,5
province,Ituri,2026-07-14,19,5
province,Nord-Kivu,2026-07-14,2,0
healthzone,Bunia,2026-07-14,7,1
healthzone,Lita,2026-07-14,1,0
healthzone,Bambu,2026-07-14,1,0
healthzone,Nizi,2026-07-14,5,1
healthzone,Mangala,2026-07-14,0,1
healthzone,Adja,2026-07-14,1,1
healthzone,Rwampara,2026-07-14,0,1
healthzone,Nia-Nia,2026-07-14,3,0
healthzone,Katwa,2026-07-14,2,0
healthzone,Ariwara,2026-07-14,1,0
national,,2026-07-15,19,1
province,Ituri,2026-07-15,13,1
province,Nord-Kivu,2026-07-15,6,0
healthzone,Bunia,2026-07-15,4,0
healthzone,Rwampara,2026-07-15,5,1
healthzone,Logo,2026-07-15,1,0
healthzone,Nizi,2026-07-15,1,0
healthzone,Katwa,2026-07-15,5,0
healthzone,Mambasa,2026-07-15,2,0
healthzone,Beni,2026-07-15,1,0
national,,2026-07-16,9,7
province,Ituri,2026-07-16,5,7
province,Nord-Kivu,2026-07-16,4,0
healthzone,Bunia,2026-07-16,1,3
healthzone,Rwampara,2026-07-16,1,1
healthzone,Lita,2026-07-16,0,3
healthzone,Butembo,2026-07-16,1,0
healthzone,Mongbwalu,2026-07-16,3,0
healthzone,Katwa,2026-07-16,3,0
national,,2026-07-17,7,1
province,Ituri,2026-07-17,7,0
province,Nord-Kivu,2026-07-17,0,1
healthzone,Bunia,2026-07-17,3,0
healthzone,Beni,2026-07-17,0,1
healthzone,Mongbwalu,2026-07-17,2,0
healthzone,Nizi,2026-07-17,1,0
healthzone,Tchomia,2026-07-17,1,0
national,,2026-07-18,6,0
province,Ituri,2026-07-18,6,0
healthzone,Nizi,2026-07-18,1,0
healthzone,Bambu,2026-07-18,1,0
healthzone,Adja,2026-07-18,1,0
healthzone,Rwampara,2026-07-18,3,0
national,,2026-07-19,0,1
province,Ituri,2026-07-19,0,1
healthzone,Lita,2026-07-19,0,1
