scale,area,date,confirmed_observed,confirmed_imputed
healthzone,Mangala,2026-06-04,1,0
healthzone,Nyakunde,2026-06-04,1,0
healthzone,Aungba,2026-06-04,1,0
healthzone,Lita,2026-06-04,1,0
national,,2026-06-05,13,7
province,Nord-Kivu,2026-06-05,1,0
province,Ituri,2026-06-05,12,7
healthzone,Nyakunde,2026-06-05,1,0
healthzone,Rwampara,2026-06-05,3,1
healthzone,Mongbwalu,2026-06-05,3,5
healthzone,Bunia,2026-06-05,5,0
healthzone,Bambu,2026-06-05,0,1
healthzone,Katwa,2026-06-05,1,0
national,,2026-06-06,35,4
province,Ituri,2026-06-06,33,4
province,Nord-Kivu,2026-06-06,2,0
healthzone,Tchomia,2026-06-06,1,0
healthzone,Nyakunde,2026-06-06,2,0
healthzone,Rwampara,2026-06-06,11,1
healthzone,Damas,2026-06-06,0,1
healthzone,Bunia,2026-06-06,11,0
healthzone,Mongbwalu,2026-06-06,4,2
healthzone,Lita,2026-06-06,1,0
healthzone,Butembo,2026-06-06,1,0
healthzone,Bambu,2026-06-06,1,0
healthzone,Drodro,2026-06-06,1,0
healthzone,Katwa,2026-06-06,1,0
healthzone,Komanda,2026-06-06,1,0
national,,2026-06-07,32,3
province,Nord-Kivu,2026-06-07,3,0
province,Ituri,2026-06-07,29,3
healthzone,Rwampara,2026-06-07,8,1
healthzone,Bunia,2026-06-07,10,0
healthzone,Mongbwalu,2026-06-07,5,2
healthzone,Nizi,2026-06-07,4,0
healthzone,Butembo,2026-06-07,2,0
healthzone,Beni,2026-06-07,1,0
healthzone,Kambala,2026-06-07,1,0
healthzone,Lita,2026-06-07,1,0
national,,2026-06-08,51,5
province,Nord-Kivu,2026-06-08,4,0
province,Ituri,2026-06-08,47,5
healthzone,Lita,2026-06-08,1,0
healthzone,Nyakunde,2026-06-08,2,0
healthzone,Bunia,2026-06-08,12,1
healthzone,Rwampara,2026-06-08,14,1
healthzone,Nizi,2026-06-08,3,0
healthzone,Kilo,2026-06-08,1,1
healthzone,Mongbwalu,2026-06-08,11,2
healthzone,Butembo,2026-06-08,3,0
healthzone,Katwa,2026-06-08,1,0
healthzone,Nia-Nia,2026-06-08,1,0
healthzone,Komanda,2026-06-08,1,0
healthzone,Mangala,2026-06-08,1,0
national,,2026-06-09,31,7
province,Ituri,2026-06-09,29,6
province,Nord-Kivu,2026-06-09,2,1
healthzone,Kilo,2026-06-09,1,0
healthzone,Bunia,2026-06-09,9,2
healthzone,Rwampara,2026-06-09,5,0
healthzone,Logo,2026-06-09,1,0
healthzone,Mongbwalu,2026-06-09,5,4
healthzone,Beni,2026-06-09,0,1
healthzone,Mambasa,2026-06-09,1,0
healthzone,Lita,2026-06-09,2,0
healthzone,Bambu,2026-06-09,1,0
healthzone,Nizi,2026-06-09,1,0
healthzone,Musienene,2026-06-09,1,0
healthzone,Komanda,2026-06-09,1,0
healthzone,Nyakunde,2026-06-09,2,0
healthzone,Katwa,2026-06-09,1,0
national,,2026-06-10,45,7
province,Ituri,2026-06-10,43,7
province,Nord-Kivu,2026-06-10,2,0
healthzone,Lita,2026-06-10,3,0
healthzone,Bunia,2026-06-10,11,1
healthzone,Nizi,2026-06-10,7,0
healthzone,Rwampara,2026-06-10,6,1
healthzone,Tchomia,2026-06-10,1,0
healthzone,Butembo,2026-06-10,2,0
healthzone,Mongbwalu,2026-06-10,13,4
healthzone,Mangala,2026-06-10,2,1
national,,2026-06-11,36,11
province,Nord-Kivu,2026-06-11,5,0
province,Ituri,2026-06-11,31,11
healthzone,Bunia,2026-06-11,8,2
healthzone,Rwampara,2026-06-11,8,2
healthzone,Kyondo,2026-06-11,1,0
healthzone,Nizi,2026-06-11,2,0
healthzone,Tchomia,2026-06-11,0,1
healthzone,Beni,2026-06-11,1,0
healthzone,Mongbwalu,2026-06-11,9,5
healthzone,Musienene,2026-06-11,1,0
healthzone,Damas,2026-06-11,1,0
healthzone,Lita,2026-06-11,1,1
healthzone,Bambu,2026-06-11,1,0
healthzone,Katwa,2026-06-11,2,0
healthzone,Mangala,2026-06-11,1,0
national,,2026-06-12,28,8
province,Ituri,2026-06-12,26,8
province,Nord-Kivu,2026-06-12,2,0
healthzone,Nyakunde,2026-06-12,4,0
healthzone,Lita,2026-06-12,1,0
healthzone,Mongbwalu,2026-06-12,4,4
healthzone,Bunia,2026-06-12,10,0
healthzone,Rwampara,2026-06-12,5,3
healthzone,Nizi,2026-06-12,1,1
healthzone,Nia-Nia,2026-06-12,1,0
healthzone,Katwa,2026-06-12,2,0
national,,2026-06-13,26,12
province,Nord-Kivu,2026-06-13,5,0
province,Ituri,2026-06-13,21,12
healthzone,Bunia,2026-06-13,5,2
healthzone,Nyakunde,2026-06-13,1,0
healthzone,Butembo,2026-06-13,1,0
healthzone,Tchomia,2026-06-13,0,1
healthzone,Rwampara,2026-06-13,3,3
healthzone,Bambu,2026-06-13,1,1
healthzone,Nizi,2026-06-13,4,1
healthzone,Kilo,2026-06-13,1,1
healthzone,Mongbwalu,2026-06-13,3,2
healthzone,Beni,2026-06-13,2,0
healthzone,Lita,2026-06-13,1,1
healthzone,Musienene,2026-06-13,1,0
healthzone,Mangala,2026-06-13,1,0
healthzone,Logo,2026-06-13,1,0
healthzone,Katwa,2026-06-13,1,0
national,,2026-06-14,41,16
province,Nord-Kivu,2026-06-14,3,0
province,Ituri,2026-06-14,37,16
province,Haut-Uele,2026-06-14,1,0
healthzone,Bunia,2026-06-14,15,1
healthzone,Nizi,2026-06-14,2,0
healthzone,Nia-Nia,2026-06-14,1,0
healthzone,Beni,2026-06-14,1,0
healthzone,Lita,2026-06-14,3,1
healthzone,Wamba,2026-06-14,1,0
healthzone,Rwampara,2026-06-14,4,3
healthzone,Mongbwalu,2026-06-14,5,7
